EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
DATA,n1,n2,n3,n4,n5,n6,Numar castiguri,Valoare castig,Report,Numar castiguri,Valoare castig,Report,Numar castiguri,Valoare castig,Report,Numar castiguri,Valoare castig,Report
"Du, 26 noiembrie 2023",20,21,49,10,5,43,REPORT,"685.108,32","10.914.470,64",5,"45.673,88","0,00",462,"494,30","0,00",8.577,"30,00","0,00"
"Jo, 23 noiembrie 2023",33,4,45,43,18,8,REPORT,"412.579,20","10.229.362,32",6,"22.921,06","0,00",251,"547,91","0,00",4.896,"30,00","0,00"
"Du, 19 noiembrie 2023",14,28,18,17,22,3,REPORT,"665.962,32","9.816.783,12",14,"15.856,24","0,00",679,"326,93","0,00",11.561,"30,00","0,00"
"Jo, 16 noiembrie 2023",46,44,38,13,23,31,REPORT,"420.048,00","9.150.820,80",3,"46.672,00","0,00",238,"588,30","0,00",4.783,"30,00","0,00"
"Du, 12 noiembrie 2023",26,18,27,41,42,28,REPORT,"741.558,72","8.730.772,80",2,"123.593,12","0,00",288,"858,28","0,00",6.888,"30,00","0,00"
"Jo, 9 noiembrie 2023",40,3,8,2,38,25,REPORT,"381.707,04","7.989.214,08",3,"42.411,89","0,00",253,"502,90","0,00",4.895,"30,00","0,00"
"Du, 5 noiembrie 2023",5,37,17,46,26,30,REPORT,"657.750,96","7.607.507,04",9,"24.361,14","0,00",485,"452,06","0,00",8.72,"30,00","0,00"
"Jo, 2 noiembrie 2023",40,25,31,23,18,14,REPORT,"365.790,00","6.949.756,08",1,"121.930,00","0,00",222,"549,23","0,00",4.372,"30,00","0,00"
"Du, 29 octombrie 2023",32,9,44,24,46,1,REPORT,"686.408,40","6.583.966,08",9,"25.422,53","0,00",323,"708,36","0,00",7.012,"30,00","0,00"
"Jo, 26 octombrie 2023",23,36,49,30,20,4,REPORT,"380.649,12","5.897.557,68",7,"18.126,14","0,00",266,"477,00","0,00",4.644,"30,00","0,00"
"Du, 22 octombrie 2023",32,6,14,7,40,45,REPORT,"668.678,64","5.516.908,56",2,"111.446,44","0,00",360,"619,14","0,00",7.063,"30,00","0,00"
"Jo, 19 octombrie 2023",23,31,15,3,1,40,REPORT,"359.658,96","4.848.229,92",1,"119.886,32","0,00",260,"461,10","0,00",4.332,"30,00","0,00"
"Du, 15 octombrie 2023",20,38,3,48,35,21,REPORT,"841.622,16","4.488.570,96",6,"46.756,78","0,00",323,"868,54","0,00",6.603,"30,00","0,00"
"Jo, 12 octombrie 2023",17,33,45,26,40,4,REPORT,"345.024,72","3.546.948,80",1,"115.008,24","0,00",275,"418,21","0,00",4.315,"30,00","0,00"
"Du, 8 octombrie 2023",14,16,6,27,26,37,REPORT,"583.659,36","3.201.924,08",17,"11.444,30","0,00",624,"311,78","0,00",9.08,"30,00","0,00"
"Jo, 5 octombrie 2023",20,25,47,3,13,38,REPORT,"316.894,32","2.618.264,72",16,"6.601,96","0,00",372,"283,95","0,00",5.112,"30,00","0,00"
"Du, 1 octombrie 2023",41,16,29,37,26,6,REPORT,"604.709,52","2.301.370,40",5,"40.313,96","0,00",408,"494,04","0,00",7.452,"30,00","0,00"
